Stage,Comparison,Case,Description,Goal,Replicates,Δ mean,Δ mean CI,Confidence,Erratic,Regression,Improvement,Effect size,Confidence threshold,Log
Stage A,main vs foundation,uds_dogstatsd_to_api_v3,Source DogStatsD v3-labeled throughput case (did not activate current v3 endpoint config),ingress throughput,"3 baseline, 3 comparison",-0.19%,"[-0.46%, +0.07%]",64.6%,false,false,false,±20.0%,80.0%,cases/stageA-main-vs-foundation-uds_dogstatsd_to_api_v3-rerun1.log
Stage A,main vs foundation,uds_dogstatsd_to_api,DogStatsD-to-API compatibility throughput,ingress throughput,"3 baseline, 3 comparison",-0.18%,"[-0.38%, +0.01%]",76.4%,false,false,false,±20.0%,80.0%,cases/stageA-main-vs-foundation-uds_dogstatsd_to_api.log
Stage A,main vs foundation,uds_dogstatsd_20mb_12k_contexts_20_senders,DogStatsD memory/cardinality/concurrency,memory utilization,"3 baseline, 3 comparison",+0.70%,"[+0.47%, +0.94%]",100.0%,false,false,false,±20.0%,80.0%,cases/stageA-main-vs-foundation-uds_dogstatsd_20mb_12k_contexts_20_senders.log
Stage B,foundation vs instrumentation,uds_dogstatsd_to_api_v3,Instrumentation-only overhead on source v3-labeled case,ingress throughput,"3 baseline, 3 comparison",-0.29%,"[-0.55%, -0.02%]",83.2%,false,false,false,±20.0%,80.0%,cases/stageB-foundation-vs-experiment-uds_dogstatsd_to_api_v3.log
Stage B,foundation vs instrumentation,uds_dogstatsd_to_api,Instrumentation-only overhead on API compatibility case,ingress throughput,"3 baseline, 3 comparison",-0.69%,"[-0.96%, -0.41%]",99.9%,false,false,false,±20.0%,80.0%,cases/stageB-foundation-vs-experiment-uds_dogstatsd_to_api.log
Stage B,foundation vs instrumentation,uds_dogstatsd_20mb_12k_contexts_20_senders,Instrumentation-only overhead on memory/cardinality/concurrency case,memory utilization,"3 baseline, 3 comparison",+0.77%,"[+0.56%, +0.99%]",100.0%,false,false,false,±20.0%,80.0%,cases/stageB-foundation-vs-experiment-uds_dogstatsd_20mb_12k_contexts_20_senders.log
Stage B,foundation vs instrumentation,uds_dogstatsd_to_api_v3_endpoint_fixed,Corrected local v3 endpoint case with metrics-v3 payload builder active,ingress throughput,"3 baseline, 3 comparison",+0.04%,"[-0.23%, +0.31%]",13.6%,false,false,true,±20.0%,80.0%,cases/stageB-foundation-vs-experiment-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage C,instrumentation vs shadow segments,uds_dogstatsd_to_api_v3,Shadow segment-builder overhead on source v3-labeled case,ingress throughput,"3 baseline, 3 comparison",-0.19%,"[-0.38%, +0.01%]",78.1%,false,false,false,±20.0%,80.0%,cases/stageC-experiment-vs-shadow-uds_dogstatsd_to_api_v3.log
Stage C,instrumentation vs shadow segments,uds_dogstatsd_to_api,Shadow segment-builder overhead on API compatibility case,ingress throughput,"3 baseline, 3 comparison",-0.35%,"[-0.57%, -0.14%]",96.3%,false,false,false,±20.0%,80.0%,cases/stageC-experiment-vs-shadow-uds_dogstatsd_to_api.log
Stage C,instrumentation vs shadow segments,uds_dogstatsd_20mb_12k_contexts_20_senders,Shadow segment-builder overhead on memory/cardinality/concurrency case,memory utilization,"3 baseline, 3 comparison",+0.72%,"[+0.47%, +0.96%]",100.0%,false,false,false,±20.0%,80.0%,cases/stageC-experiment-vs-shadow-uds_dogstatsd_20mb_12k_contexts_20_senders.log
Stage C,instrumentation vs shadow segments,uds_dogstatsd_to_api_v3_endpoint_fixed,Corrected local v3 endpoint case with metrics-v3 payload builder active,ingress throughput,"3 baseline, 3 comparison",-0.04%,"[-0.32%, +0.24%]",13.3%,false,false,false,±20.0%,80.0%,cases/stageC-experiment-vs-shadow-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage D,shadow segments vs direct row shadow,uds_dogstatsd_to_api_v3,Direct aggregator row shadow overhead on source v3-labeled case,ingress throughput,"3 baseline, 3 comparison",+0.46%,"[+0.18%, +0.74%]",96.2%,false,false,true,±20.0%,80.0%,cases/stageD-shadow-vs-direct-row-uds_dogstatsd_to_api_v3.log
Stage D,shadow segments vs direct row shadow,uds_dogstatsd_to_api,Direct aggregator row shadow overhead on API compatibility case,ingress throughput,"3 baseline, 3 comparison",-0.43%,"[-0.65%, -0.22%]",99.1%,false,false,false,±20.0%,80.0%,cases/stageD-shadow-vs-direct-row-uds_dogstatsd_to_api.log
Stage D,shadow segments vs direct row shadow,uds_dogstatsd_20mb_12k_contexts_20_senders,Direct aggregator row shadow overhead on memory/cardinality/concurrency case,memory utilization,"3 baseline, 3 comparison",+0.30%,"[+0.09%, +0.52%]",93.4%,false,false,false,±20.0%,80.0%,cases/stageD-shadow-vs-direct-row-uds_dogstatsd_20mb_12k_contexts_20_senders.log
Stage D,shadow segments vs direct row shadow,uds_dogstatsd_to_api_v3_endpoint_fixed,Corrected local v3 endpoint case with metrics-v3 payload builder active,ingress throughput,"3 baseline, 3 comparison",+0.16%,"[-0.04%, +0.36%]",70.6%,false,false,true,±20.0%,80.0%,cases/stageD-shadow-vs-direct-row-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage E,direct row shadow vs direct active serializer,uds_dogstatsd_to_api_v3,Experimental direct serializer active via DD_DOGSTATSD_EXPERIMENTAL_DIRECT_SERIALIZER on source v3-labeled case,ingress throughput,"3 baseline, 3 comparison",-0.21%,"[-0.43%, +0.01%]",77.0%,false,false,false,±20.0%,80.0%,cases/stageE-direct-row-vs-direct-active-uds_dogstatsd_to_api_v3.log
Stage E,direct row shadow vs direct active serializer,uds_dogstatsd_to_api,Experimental direct serializer active via DD_DOGSTATSD_EXPERIMENTAL_DIRECT_SERIALIZER on API compatibility case,ingress throughput,"3 baseline, 3 comparison",-0.07%,"[-0.39%, +0.24%]",23.6%,false,false,false,±20.0%,80.0%,cases/stageE-direct-row-vs-direct-active-uds_dogstatsd_to_api.log
Stage E,direct row shadow vs direct active serializer,uds_dogstatsd_20mb_12k_contexts_20_senders,Experimental direct serializer active on memory/cardinality/concurrency case,memory utilization,"3 baseline, 3 comparison",-0.94%,"[-1.15%, -0.72%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageE-direct-row-vs-direct-active-uds_dogstatsd_20mb_12k_contexts_20_senders.log
Stage E,direct row shadow vs direct active serializer,uds_dogstatsd_to_api_v3_endpoint_fixed,Experimental direct serializer active on corrected current v3 endpoint case,ingress throughput,"3 baseline, 3 comparison",+0.56%,"[+0.27%, +0.84%]",98.7%,false,false,true,±20.0%,80.0%,cases/stageE-direct-row-vs-direct-active-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage F,direct active serializer vs direct series rows,uds_dogstatsd_to_api_v3,Direct serializer plus DogStatsD time-sampler series rows via DD_DOGSTATSD_EXPERIMENTAL_DIRECT_ROWS on source v3-labeled case,ingress throughput,"3 baseline, 3 comparison",+0.22%,"[-0.03%, +0.47%]",75.0%,false,false,true,±20.0%,80.0%,cases/stageF-direct-active-vs-direct-rows-uds_dogstatsd_to_api_v3.log
Stage F,direct active serializer vs direct series rows,uds_dogstatsd_to_api,Direct serializer plus DogStatsD time-sampler series rows on API compatibility case,ingress throughput,"3 baseline, 3 comparison",-0.13%,"[-0.36%, +0.10%]",54.0%,false,false,false,±20.0%,80.0%,cases/stageF-direct-active-vs-direct-rows-uds_dogstatsd_to_api.log
Stage F,direct active serializer vs direct series rows,uds_dogstatsd_20mb_12k_contexts_20_senders,Direct serializer plus DogStatsD time-sampler series rows on memory/cardinality/concurrency case,memory utilization,"3 baseline, 3 comparison",-0.21%,"[-0.44%, +0.01%]",77.6%,false,false,true,±20.0%,80.0%,cases/stageF-direct-active-vs-direct-rows-uds_dogstatsd_20mb_12k_contexts_20_senders.log
Stage F,direct active serializer vs direct series rows,uds_dogstatsd_to_api_v3_endpoint_fixed,Direct serializer plus DogStatsD time-sampler series rows on corrected current v3 endpoint case,ingress throughput,"3 baseline, 3 comparison",-0.12%,"[-0.37%, +0.13%]",45.7%,false,false,false,±20.0%,80.0%,cases/stageF-direct-active-vs-direct-rows-uds_dogstatsd_to_api_v3_endpoint_fixed-rerun1.log
Stage G,direct series rows vs direct metric rows,uds_dogstatsd_to_api_v3,Bypass metrics.Serie allocation during Metric.flush via DD_DOGSTATSD_EXPERIMENTAL_DIRECT_METRIC_ROWS on source v3-labeled case,ingress throughput,"3 baseline, 3 comparison",-0.08%,"[-0.35%, +0.19%]",29.3%,false,false,false,±20.0%,80.0%,cases/stageG-direct-rows-vs-direct-metric-rows-uds_dogstatsd_to_api_v3.log
Stage G,direct series rows vs direct metric rows,uds_dogstatsd_to_api,Bypass metrics.Serie allocation during Metric.flush on API compatibility case,ingress throughput,"3 baseline, 3 comparison",-0.00%,"[-0.24%, +0.24%]",1.3%,false,false,false,±20.0%,80.0%,cases/stageG-direct-rows-vs-direct-metric-rows-uds_dogstatsd_to_api.log
Stage G,direct series rows vs direct metric rows,uds_dogstatsd_20mb_12k_contexts_20_senders,Bypass metrics.Serie allocation during Metric.flush on memory/cardinality/concurrency case,memory utilization,"3 baseline, 3 comparison",-0.52%,"[-0.76%, -0.28%]",99.4%,false,false,true,±20.0%,80.0%,cases/stageG-direct-rows-vs-direct-metric-rows-uds_dogstatsd_20mb_12k_contexts_20_senders.log
Stage G,direct series rows vs direct metric rows,uds_dogstatsd_to_api_v3_endpoint_fixed,Bypass metrics.Serie allocation during Metric.flush on corrected current v3 endpoint case,ingress throughput,"3 baseline, 3 comparison",+0.02%,"[-0.23%, +0.26%]",6.8%,false,false,true,±20.0%,80.0%,cases/stageG-direct-rows-vs-direct-metric-rows-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage G,direct series rows vs direct metric rows,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,High-rate metrics-only v3 endpoint probe to avoid the 100MiB/s generator cap,ingress throughput,"3 baseline, 3 comparison",-0.25%,"[-0.48%, -0.01%]",82.2%,false,false,false,±20.0%,80.0%,cases/stageG-direct-rows-vs-direct-metric-rows-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage H,direct metric rows vs unordered direct context rows,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Unsafe upper-bound probe bypassing context grouping/dedup with DD_DOGSTATSD_EXPERIMENTAL_DIRECT_CONTEXT_ROWS,ingress throughput,"3 baseline, 3 comparison",-0.51%,"[-0.73%, -0.29%]",99.7%,false,false,false,±20.0%,80.0%,cases/stageH-direct-metric-rows-vs-direct-context-rows-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
